egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry
191687593,1004,1060,1271,3112,Schwende-Rüte,AI,POINT (2751120.599 1244497.362)
191688575,1004,1020,1110,3101,Appenzell,AI,POINT (2748709.088 1244625.875)
191690111,1004,1020,1121,3102,Gonten,AI,POINT (2743681.444 1243083.356)
191690112,1004,1020,1110,3102,Gonten,AI,POINT (2744564.467 1243814.333)
191690751,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2752972.461 1244219.62)
191691011,1004,1020,1110,3111,Oberegg,AI,POINT (2761081.237 1254579.352)
191694732,1004,1060,1242,3112,Schwende-Rüte,AI,POINT (2751877.398 1243042.707)
191694733,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749345.203 1244106.311)
191694994,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749676.229 1244282.453)
191696455,1004,1060,1271,3112,Schwende-Rüte,AI,POINT (2744958.64 1237632.456)
191696456,1007,1060,1274,3101,Appenzell,AI,POINT (2748821 1244128)
191696457,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2750191.973 1243881.146)
191696458,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749626.246 1244175.934)
191698933,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749314.018 1243428.854)
191703432,1004,1060,1242,3112,Schwende-Rüte,AI,POINT (2750764.787 1243284.425)
191703444,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2750846.802 1241776.849)
191709432,1004,1060,1242,3111,Oberegg,AI,POINT (2764134.282 1256137.681)
191709552,1004,1020,1122,3112,Schwende-Rüte,AI,POINT (2749809.028 1243303.582)
191710214,1001,1020,1110,3102,Gonten,AI,POINT (2744067.651 1243628.19)
191710879,1004,1060,1252,3101,Appenzell,AI,POINT (2749067.945 1243988.504)
191710887,1004,1060,1252,3101,Appenzell,AI,POINT (2748331.82 1244073.345)
191710888,1004,1060,1252,3101,Appenzell,AI,POINT (2748720.496 1243443.433)
191710893,1004,1060,1252,3101,Appenzell,AI,POINT (2748237.877 1244987.544)
191710894,1004,1060,1242,3101,Appenzell,AI,POINT (2748991.427 1243724.002)
191710898,1007,1080,1252,3112,Schwende-Rüte,AI,POINT (2751790 1243710)
191710936,1004,1060,1274,3101,Appenzell,AI,POINT (2746874.612 1242416.95)
191710938,1004,1060,1252,3101,Appenzell,AI,POINT (2749167.402 1243368.862)
191710939,1004,1060,1252,3101,Appenzell,AI,POINT (2747187.637 1243189.865)
191710943,1004,1060,1252,3101,Appenzell,AI,POINT (2748911.53 1244197.94)
191710944,1004,1060,1252,3101,Appenzell,AI,POINT (2749079.977 1243587.189)
191710952,1004,1060,1252,3101,Appenzell,AI,POINT (2748561.938 1243648.606)
191718715,1004,1060,1252,3101,Appenzell,AI,POINT (2749007.34 1243703.647)
191718721,1004,1060,1252,3101,Appenzell,AI,POINT (2748784.184 1243730.902)
191718724,1004,1060,1271,3102,Gonten,AI,POINT (2743539.08 1242586.235)
191718728,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2750326.792 1243836.338)
191718729,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2749339.994 1243722.503)
191718730,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2749706.531 1243102.051)
191718731,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2749829.111 1243240.822)
191718891,1004,1020,1121,3102,Gonten,AI,POINT (2744084.984 1243643.017)
191718892,1004,1060,1252,3112,Schwende-Rüte,AI,POINT (2751011.907 1240630.664)
191719422,1004,1020,1110,3101,Appenzell,AI,POINT (2748151.655 1244128.712)
191719426,1004,1060,1271,3101,Appenzell,AI,POINT (2749946.937 1245120.321)
191719432,1004,1060,1252,3111,Oberegg,AI,POINT (2757789.181 1253470.655)
191720372,1004,1020,1121,3104,Schlatt-Haslen,AI,POINT (2745814.31 1248297.827)
191720999,1004,1020,1121,3112,Schwende-Rüte,AI,POINT (2752244.11 1240912.87)
191723215,1004,1020,1110,3111,Oberegg,AI,POINT (2758548.866 1255189.867)
191724297,1004,1060,1252,3104,Schlatt-Haslen,AI,POINT (2746011.532 1247044.552)
