egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry
191538764,1004,1060,1271,3111,Oberegg,AI,POINT (2758080.753 1253606.475)
191538765,1004,1060,1271,3111,Oberegg,AI,POINT (2758305.363 1253718.254)
191538766,1004,1060,1271,3111,Oberegg,AI,POINT (2758238.161 1253310.471)
191538767,1004,1060,1271,3111,Oberegg,AI,POINT (2758093.804 1253141.907)
191538768,1004,1060,1271,3111,Oberegg,AI,POINT (2758638.461 1253651.263)
191538769,1004,1060,1271,3111,Oberegg,AI,POINT (2759366.263 1254116.11)
191538770,1004,1060,1271,3111,Oberegg,AI,POINT (2759463.852 1254126.984)
191538771,1004,1060,1271,3111,Oberegg,AI,POINT (2759479.236 1253954.155)
191538772,1007,1060,1271,3111,Oberegg,AI,POINT (2759295.222 1253777.002)
191538773,1004,1060,1271,3111,Oberegg,AI,POINT (2758843.267 1253090.446)
