"osm_id","name","geometry","osm_id-2"
"1239733410","Zürich Stadelhofen","0101000020E61000007D2E0906C6182140945E3894EBAE4740","-32362"
"1291611923","Zürich Tiefenbrunnen","0101000020E610000079B82E466E1F2140D2DFEA07D0AC4740","-32362"
"1300628760","Zollikon","0101000020E610000025A9F17794232140D3CB6BE22EAB4740","-32362"
"2412401899","Männedorf","0101000020E610000016DBA4A2B16221404A3001CC6BA04740","-32362"
"1348076004","Stäfa","0101000020E6100000EAFD90C888712140CCB021FBC59E4740","-32362"
"1348149623","Uerikon","0101000020E6100000C0864C9E57812140B3145EEA319E4740","-32362"
"1348193962","Feldbach","0101000020E61000003309CD64EE902140415116269D9E4740","-32362"
"2413525746","Kempraten","0101000020E6100000C85E4AB8EBA02140CDD8638A839E4740","-32362"
"3074774945","Rapperswil SG","0101000020E61000004E06EC0F39A221409E86D455CB9C4740","-32367"
"3074774945","Rapperswil SG","0101000020E61000004E06EC0F39A221409E86D455CB9C4740","-32362"
"3074774944","Pfäffikon","0101000020E6100000526A8A5B608E2140CD932058FA994740","-32362"
"1363390558","Freienbach SOB","0101000020E61000003B229518BA8421405EFF9B13209A4740","-32362"
"1363420493","Wollerau","0101000020E6100000C4AE923424732140FEF1E02307994740","-32362"
"1345880152","Richterswil","0101000020E61000001D064E113B6A21409602FAD4B19A4740","-32362"
"3080372104","Wädenswil","0101000020E6100000DB7A3CE3B1592140DD0B6C91599D4740","-32362"
"1273321595","Horgen Oberdorf","0101000020E6100000D11DC4CE142E2140777885121CA14740","-32362"
"1273164743","Oberrieden Dorf","0101000020E610000075C93846B2272140558E760B6EA34740","-32362"
"3074886742","Oberrieden","0101000020E61000001B50807225282140F8E68108CCA34740","-32362"
"3080372090","Horgen","0101000020E61000006F5633219C31214099E43F6777A14740","-32362"
"1345694391","Au","0101000020E6100000F82E4A75A6492140A1084CB49A9F4740","-32362"
"1305717852","Uetikon","0101000020E6100000D11A2895955B2140610E436E2BA14740","-32362"
"1305660372","Meilen","0101000020E6100000C305EADED4492140D03C0BBB83A24740","-32362"
"1305607315","Herrliberg-Feldmeilen","0101000020E61000008C391966B23921404D5AF54311A44740","-32362"
"1300646901","Küsnacht Goldbach","0101000020E61000009883FB5CC8262140C016B722D6A94740","-32362"
"1300717238","Küsnacht","0101000020E610000001D479F9422921400DBE9356D7A84740","-32362"
"1305115032","Winkel","0101000020E61000001B13622EA93221400E71E2900DA64740","-32362"
"1305029643","Erlenbach","0101000020E6100000903E52E9CC2E21407B6590B124A74740","-32362"
"3080372097","Rüschlikon","0101000020E6100000CD2555DB4D1C214017C0FB8F4CA74740","-32362"
"3080372101","Thalwil","0101000020E6100000D4168D6B3221214081CA68C9E3A54740","-32362"
"3074886740","Kilchberg","0101000020E6100000ABA22E089B1821405461426788A94740","-32362"
"1280652702","Zug","0101000020E61000000E9D43BEF0072140F847C2983E964740","-540344"
"2171580321","Zug Oberwil","0101000020E6100000D9098A7A1C0521403EEC4FABE8924740","-540344"
"3080372083","Cham","0101000020E6100000305DD2623AEA20403AEEB294D1964740","-540344"
"3080695734","Baldegg","0101000020E6100000ADA5DB6D728F204044F05A88C4974740","-10568375"
"3080372106","Zürich Wollishofen","0101000020E61000002442C81E461121401282071E84AC4740","-32362"
"1270614835","Zürich Enge","0101000020E610000068041BD7BF0F2140FFCDF18E9DAE4740","-32362"
"3080695736","Birrwil","0101000020E6100000F74F3750E0652040F8109D39DAA44740","151788989"
"2993022444","Sachseln","0101000020E61000000996D9D6057A204097081A7A7A6F4740","136647452"
"6034007294","Brienz","0101000020E61000001602CAF0E91320405119BF87A6604740","-1671617"
"6034007293","Brienz","0101000020E6100000F1CE4653E21320408AFDF2BB9F604740","-1671617"
"6034006572","Ebligen, Bahnhof","0101000020E6100000FF125DBCC4F51F4062AAFA3D56604740","-1671617"
"6034006571","Oberried","0101000020E61000006BF7AB00DFD51F403A3E6692475E4740","-1671617"
"3081154442","Thun","0101000020E6100000CCE9B298D8841E4047B240529F604740","-1117321"
"3081154411","Murten/Morat","0101000020E6100000241C1FD214761C4095ECE72274764740","-398830"
"1975565226","Faoug","0101000020E61000004F86F425654C1C400293ED4042744740","-398830"
"2868073398","Lattrigen","0101000020E6100000E386849444DB1C40F9DD6C09548C4740","-1860960"
"2868073901","Nidau","0101000020E610000093F2EE2312F81C40FDAB54ADE08F4740","-1860960"
"1946558958","Tüscherz","0101000020E6100000D45D23939DC81C405912B23F9A8E4740","-1860960"
"3081154447","Twann","0101000020E6100000283394C95FA01C401BF6D02F008C4740","-1860960"
"5137617912","Le Landeron","0101000020E61000006DF82702E6431C40A85EA6063F874740","-1860960"
"3081154404","Ligerz","0101000020E610000066E1EB6B5D8A1C40D18D8ADFB98A4740","-1860960"
"9831727481","Ligerz","0101000020E61000009C6ED921FE891C40F8CB34E6BF8A4740","-1860960"
"3046153730","Biel/Bienne","0101000020E61000004F296508B6F81C4066190DE203914740","-1860960"
"2456031551","Stein am Rhein","0101000020E61000009D6DC905C2B52140497A7E1EFED34740","-1156846"
"2486323396","Mammern","0101000020E61000002ED2D56718D4214003C461CA76D24740","-1156846"
"2486344596","Berlingen","0101000020E61000004E79BEB0460B22404D6BC44F2DD64740","-1156846"
"2486323397","Steckborn","0101000020E6100000C7EF124141F621400FA3B2D30FD54740","-1156846"
"2486375605","Ermatingen","0101000020E6100000A1E8CB1CDC2B2240FFA8191FC1D54740","-1156846"
"2486375610","Mannenbach-Salenstein","0101000020E6100000F038A000E51A2240E5F4F1423AD64740","-1156846"
