"osm_id","name","geometry","osm_id-2"
"1946558958","Tüscherz","0101000020E6100000D45D23939DC81C405912B23F9A8E4740","-1860960"
"3081154447","Twann","0101000020E6100000283394C95FA01C401BF6D02F008C4740","-1860960"
"5137617912","Le Landeron","0101000020E61000006DF82702E6431C40A85EA6063F874740","-1860960"
"3081154404","Ligerz","0101000020E610000066E1EB6B5D8A1C40D18D8ADFB98A4740","-1860960"
"3046153730","Biel/Bienne","0101000020E61000004F296508B6F81C4066190DE203914740","-1860960"
"2456031551","Stein am Rhein","0101000020E61000009D6DC905C2B52140497A7E1EFED34740","-1156846"
"2486323396","Mammern","0101000020E61000002ED2D56718D4214003C461CA76D24740","-1156846"
"2486344596","Berlingen","0101000020E61000004E79BEB0460B22404D6BC44F2DD64740","-1156846"
"2486323397","Steckborn","0101000020E6100000C7EF124141F621400FA3B2D30FD54740","-1156846"
"2486375605","Ermatingen","0101000020E6100000A1E8CB1CDC2B2240FFA8191FC1D54740","-1156846"
"2486375610","Mannenbach-Salenstein","0101000020E6100000F038A000E51A2240E5F4F1423AD64740","-1156846"
"2349962689","Altnau","0101000020E6100000297A3B1D238822400E93CC3A88CF4740","-1156846"
"2509270355","Romanshorn","0101000020E6100000874B338232C22240E4CE933E63C84740","-1156846"
"2510493283","Uttwil","0101000020E61000001DAB949EE9AD2240470F180802CB4740","-1156846"
"2510469066","Güttingen","0101000020E6100000D4F3C9E59A952240758F83F6EACD4740","-1156846"
"2486668293","Kreuzlingen Hafen","0101000020E61000005F8DFD76235D224074476B1217D34740","-1156846"
"2486660802","Tägerwilen-Gottlieben","0101000020E6100000AB6E3F2A0F442240FD9EF48B6DD44740","-1156846"
"1354779312","Arbon","0101000020E6100000CF499462ECDD224084E0E9245BC14740","-1156846"
"1354654530","Horn","0101000020E6100000F1E489D640ED2240C017381E22BF4740","-1156846"
"2496687343","Rorschach Stadt","0101000020E61000005AD82EC8F1FA22403CCE4F94DFBC4740","-1156846"
"1349145903","Rorschach Hafen","0101000020E61000002930AE02C6FC2240727D54E641BD4740","-1156846"
"1349145879","Rorschach","0101000020E610000023BDA8DDAF022340687310F230BD4740","-1156846"
"1843809989","Capolago - Riva San Vitale","0101000020E61000001726F84B30F52140B11C449891F34640","-1342576"
"3081154429","Saint-Blaise CFF","0101000020E6100000A7120AB6B6ED1B40B77CAB22DC814740","-390323"
"1948006333","Serrières","0101000020E6100000E521533E049D1B40065A5EFAF27D4740","-390323"
"3081154344","Auvernier","0101000020E610000030410DDFC2821B40A82267A2637D4740","-390323"
"983805184","Concise","0101000020E61000000851BEA085E41A40F9E23881E96C4740","-390323"
